Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
128,0.0035333,0.0024082,0.0014733,0.0016099,0.0030788,0.0026495
512,0.0205508,0.0162507,0.015915,0.0178767,0.0302202,0.0295359
2048,0.3066988,0.2508518,0.2658356,0.2672451,0.4797404,0.4664083
