,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
64,0.004588437080383301,0.004658627510070801,0.004599857330322266,0.004634642601013183,0.005051350593566895,0.00479731559753418
256,0.016414713859558106,0.016623425483703613,0.016472125053405763,0.016137170791625976,0.019417428970336915,0.018863224983215333
1024,0.12002155780792237,0.12164363861083985,0.12520389556884765,0.11831746101379395,0.15819385051727294,0.13791251182556152
4096,0.2881977081298828,0.30275373458862304,0.30664429664611814,0.28152217864990237,0.4955455780029297,0.47529027462005613
16384,3.7008627891540526,3.7616119623184203,3.8324578046798705,3.5791515350341796,5.922980284690857,5.895523190498352
