,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
64,0.0015032291412353516,0.0013245820999145507,0.0012628793716430663,0.0014026641845703125,0.001552438735961914,0.001398777961730957
256,0.007407069206237793,0.005875182151794433,0.00602271556854248,0.0071147441864013675,0.008004283905029297,0.008139300346374511
1024,0.04004769325256348,0.020565366744995116,0.02105081081390381,0.037786555290222165,0.041039776802062986,0.038843750953674316
4096,0.6752670049667359,0.5531042098999024,0.5517615079879761,0.666924238204956,0.8008045434951783,0.7667010307312012
16384,7.58339478969574,6.217699694633484,6.21322090625763,7.4020082473754885,9.344064521789551,9.010402703285218
