,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
64,0.0011436939239501953,0.0012190818786621093,0.0012306928634643554,0.0011401176452636719,0.0013171195983886718,0.0012626886367797852
256,0.001157855987548828,0.001241755485534668,0.0012766599655151367,0.0011418581008911133,0.0013134479522705078,0.0012845039367675782
1024,0.001000380516052246,0.0011922359466552735,0.001280522346496582,0.0011554479598999024,0.0013414859771728516,0.001291942596435547
4096,0.00094146728515625,0.0010352849960327149,0.0010162830352783204,0.0009426355361938476,0.001076674461364746,0.0010621070861816407
16384,0.0009462356567382813,0.0010442256927490235,0.0010354280471801757,0.0009418010711669921,-1.0,0.001069784164428711
