Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
128,0.0022672,0.0022757,0.0022703,0.0022005,0.0024352,0.0024341
512,0.021881,0.0225951,0.0228047,0.0220578,0.0259051,0.0254613
2048,0.8737165,0.8950532,0.8937111,0.8763217,0.9273812,0.91952
