,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
64,0.0019819021224975588,0.0011284828186035156,0.0011139631271362305,0.0013635396957397462,0.0015214204788208008,0.0014561176300048827
256,0.0025936365127563477,0.0019268989562988281,0.00197446346282959,0.0021953821182250977,0.0026711940765380858,0.0026153802871704103
1024,0.002615690231323242,0.0021865129470825194,0.002444958686828613,0.002450990676879883,0.0028666019439697265,0.002818608283996582
4096,0.034853219985961914,0.03058304786682129,0.030616021156311034,0.03139297962188721,0.035199856758117674,0.03367323875427246
16384,0.556443452835083,0.5038258552551269,0.5054574966430664,0.5028051853179931,0.2580449104309082,0.5345439672470093
