,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.18464338779449463,0.16582705974578857,0.17566592693328859,0.21022386550903321,0.22837018966674805,0.21922783851623534
4000,0.9538939714431762,0.796384072303772,0.791120958328247,0.9252560138702393,1.0567035675048828,1.056552815437317
6000,2.1948355197906495,1.8228568315505982,1.8182426691055298,2.1426589250564576,2.3651633262634277,2.2798500061035156
8000,3.7105342626571653,3.0839446783065796,3.08732328414917,3.5883217334747313,3.9985809564590453,3.7928245782852175
10000,5.537163519859314,4.540304183959961,4.621857404708862,5.410260891914367,5.979067015647888,5.792803812026977
