,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.14359424114227295,0.16541213989257814,0.17415237426757812,0.15824546813964843,0.2990293264389038,0.2939062356948853
4000,0.8291009187698364,0.936123275756836,0.9469304084777832,0.8356422901153564,1.404636812210083,1.5122024297714234
6000,1.937671184539795,2.124795365333557,2.156470537185669,1.9479934215545653,3.144818067550659,3.2532389163970947
8000,3.233881425857544,3.6269786596298217,3.567297101020813,3.227052164077759,5.331205058097839,5.432000207901001
10000,4.751690673828125,5.302194714546204,5.384776759147644,4.848462533950806,8.029054069519043,8.336362886428834
