Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.0013573,0.0013815,0.0013416,0.0012787,0.0015391,0.0014611
4000,0.0096367,0.0101284,0.0103915,0.009914,0.0096752,0.0104974
6000,0.0204029,0.021284,0.0210036,0.0214435,0.0198361,0.0207595
8000,0.034878,0.0367147,0.0369413,0.0362526,0.0342443,0.0361329
10000,0.0538847,0.0557723,0.0568833,0.0564746,0.0566448,0.0555274
