,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.2821118593215942,0.21593220233917237,0.21760659217834472,0.2568493366241455,0.42085795402526854,0.3886791467666626
4000,1.1459701776504516,0.8341655254364013,0.8362231731414795,1.0384947299957275,1.6698424577713014,1.6446261167526246
6000,2.5535287380218508,1.8428691625595093,1.8398638725280763,2.3106953144073485,3.7041808128356934,3.6499895095825194
8000,4.479230642318726,3.2043021440505983,3.212944173812866,4.068752384185791,6.567172622680664,6.3468632936477665
10000,6.9370790958404545,5.0104694128036495,5.013877272605896,6.431170105934143,10.137698316574097,9.826297497749328
