,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.0014458179473876953,0.0013953208923339843,0.0012447834014892578,0.0011707067489624024,0.0015066862106323242,0.001622629165649414
4000,0.0012015819549560547,0.0012507200241088866,0.0012916803359985351,0.0011865615844726563,0.0015477418899536132,0.0016671180725097655
6000,0.0011739015579223632,0.0012742996215820313,0.00124051570892334,0.0011719465255737305,0.0015474319458007812,0.0015874624252319336
8000,0.0011893272399902343,0.001267075538635254,0.0012854814529418945,0.0012186288833618164,0.0016058921813964845,0.0016306638717651367
10000,0.0012402772903442384,0.0012940645217895507,0.0013048171997070313,0.0012224912643432617,0.0016237974166870117,0.0016686677932739257
