,numpy,torch_cpu,jax_eager,jax_jit
2000,0.11951382954915364,0.15934181213378906,0.1595467726389567,0.00025018056233723957
4000,0.4317564169565837,0.978856086730957,0.14643756548563638,0.0004762013753255208
6000,0.915236234664917,2.333014647165934,0.15928435325622559,0.0010202725728352864
8000,1.6306577523549397,4.047889868418376,0.1729882558186849,0.0015707810719807942
10000,2.506753126780192,6.108179569244385,0.194609006245931,0.002332290013631185
