,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.007694172859191895,0.006760954856872559,0.006850290298461914,0.0070143938064575195,0.008270168304443359,0.008326029777526856
4000,0.03255782127380371,0.028810930252075196,0.028777408599853515,0.029283976554870604,0.03484122753143311,0.03544962406158447
6000,0.0738447666168213,0.06529333591461181,0.06530382633209228,0.06634838581085205,0.0790837287902832,0.08070378303527832
8000,0.13149032592773438,0.11633245944976807,0.11631982326507569,0.11815237998962402,0.14090826511383056,0.14383108615875245
10000,0.20552289485931396,0.18194069862365722,0.18190808296203614,0.18475534915924072,0.2204470157623291,0.22504537105560302
