,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.008663439750671386,0.007402181625366211,0.00741732120513916,0.007706952095031738,0.009136795997619629,0.00922863483428955
4000,0.03391180038452148,0.029812955856323244,0.02982909679412842,0.030343055725097656,0.03598017692565918,0.03685314655303955
6000,0.07665326595306396,0.06752378940582275,0.06751220226287842,0.0686037302017212,0.08167390823364258,0.08320581912994385
8000,0.13616409301757812,0.12017178535461426,0.12015326023101806,0.12202551364898681,0.1450122117996216,0.1479172706604004
10000,0.21258847713470458,0.18767988681793213,0.18768677711486817,0.19057071208953857,0.2265394926071167,0.2311243534088135
