,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.007989716529846192,0.006935930252075196,0.00732269287109375,0.007121634483337402,0.00802910327911377,0.007610249519348145
4000,0.0324345588684082,0.02845311164855957,0.02846827507019043,0.02899010181427002,0.03270425796508789,0.0313420295715332
6000,0.07334468364715577,0.06432974338531494,0.06433093547821045,0.0655472755432129,0.07417707443237305,0.0708878755569458
8000,0.13058869838714598,0.11455938816070557,0.11455988883972168,0.11667299270629883,0.13202762603759766,0.12619242668151856
10000,0.2042233467102051,0.17911860942840577,0.17910354137420653,0.1823744297027588,0.2064763307571411,0.19733912944793702
