,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0010826587677001953,0.0011152029037475586,0.0011255502700805663,0.00103607177734375,0.001211404800415039,0.0012220621109008789
512,0.0010774850845336914,0.0011826515197753905,0.0011734962463378906,0.0010450363159179687,0.001216745376586914,0.0012058258056640626
1024,0.001114654541015625,0.0011824369430541992,0.0011895656585693359,0.0010771512985229491,0.0012119054794311524,0.0012238025665283203
2048,0.0010891437530517578,0.0011504888534545898,0.0011530160903930665,0.0010557889938354493,0.001196146011352539,0.0012149333953857422
4096,0.001085662841796875,0.0011156320571899414,0.001148056983947754,0.0010949373245239258,0.0012238740921020508,0.001208329200744629
8192,0.0010687351226806641,0.0011564970016479492,0.001164865493774414,0.001059269905090332,0.0012251615524291992,0.0011795997619628907
