Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0065524,0.0065153,0.0064999,0.006083,0.0080615,0.0076936
512,0.0210708,0.0226198,0.022443,0.0210773,0.0342222,0.0312376
1024,0.0647666,0.0678844,0.0680761,0.0645341,0.0875638,0.0833059
2048,0.1152205,0.111057,0.1118133,0.1126963,0.1477953,0.1394112
4096,0.4155264,0.433852,0.4337635,0.4155235,0.6196739,0.6079668
8192,1.6253546,1.6927226,1.6977542,1.6279765,2.3297849,2.3289556
