,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.06832287311553956,0.07858502864837646,0.06733505725860596,0.07774391174316406,0.07263755798339844,0.08318326473236085
512,0.09049713611602783,0.09109814167022705,0.08668229579925538,0.08517720699310302,0.10544939041137695,0.10051264762878417
1024,0.13253884315490722,0.11571714878082276,0.11364030838012695,0.12675445079803466,0.17165737152099608,0.17181203365325928
2048,0.34520635604858396,0.2817315340042114,0.2814227342605591,0.31168529987335203,0.4801354885101318,0.46981780529022216
4096,1.2266033172607422,0.9267879724502563,0.9136561393737793,1.048712420463562,1.7510546922683716,1.7183316946029663
8192,4.764925289154053,3.680505084991455,3.5464792966842653,4.089696669578553,6.869092226028442,6.645662498474121
