Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0009613,0.0009956,0.0009991,0.0009268,0.001074,0.0010625
512,0.0019104,0.0021588,0.0021735,0.0020528,0.004173,0.0026762
1024,0.0011201,0.0012081,0.0011858,0.0011156,0.001372,0.0054003
2048,0.0023423,0.0026851,0.0013302,0.0012121,0.0013864,0.0013444
4096,0.0129112,0.0122281,0.0134152,0.0136868,0.0132038,0.0136333
8192,0.0506626,0.0522169,0.0509123,0.05079,0.0504472,0.0505968
