,numpy,torch_cpu,jax_eager,jax_jit
2000,0.13330864906311035,0.14621933301289877,0.18156035741170248,0.0005202293395996094
4000,0.4056989351908366,1.0341737270355225,0.13199806213378906,0.0007492701212565104
6000,0.7883141040802002,2.3100661436716714,0.15432469050089517,0.0014826456705729167
8000,1.4099743366241455,4.031004905700684,0.1741940975189209,0.00235899289449056
10000,2.214867194493612,5.951095104217529,0.19797492027282715,0.003366708755493164
