Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0064987,0.0052905,0.0053722,0.0058607,0.0071592,0.007093
512,0.007385,0.0065204,0.0065401,0.0070849,0.0098731,0.0095791
1024,0.0200036,0.0234971,0.0265727,0.0264746,0.0417103,0.0434157
2048,0.1982352,0.1661368,0.1663938,0.1864159,0.1769106,0.1736654
4096,0.9471808,0.8309586,0.8300559,0.8894849,0.8988888,0.875467
8192,3.7723812,3.415274,3.399474,3.7307928,3.6670574,3.5742941
