,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.2590422391891479,0.20005762577056885,0.2005845308303833,0.22390711307525635,0.41144447326660155,0.40392699241638186
4000,1.0486857414245605,0.735919737815857,0.7259465456008911,0.8455023527145386,1.5091532230377198,1.468231701850891
6000,2.3045687675476074,1.696871781349182,1.7106528997421264,1.9875922203063965,3.514449453353882,3.3988197803497315
8000,4.019299936294556,2.9536391496658325,2.9834022998809813,3.4562660455703735,6.140552949905396,5.997176599502564
10000,6.35654239654541,4.7160436630249025,4.671541047096253,5.5070476770401005,9.85087718963623,9.605943989753722
