,numpy,torch_cpu,jax_eager,jax_jit
2000,0.034352298484603395,0.037866776208134806,0.02425592366357032,10.0945944645006
4000,0.050573312574135505,0.016383288030940062,0.11541381652830876,24.537061791590492
6000,0.056343492376146824,0.016955178178127184,0.22924182786246852,29.550840367930064
8000,0.05765737826750005,0.016881429991085384,0.3563942761398729,38.23140751993923
10000,0.0523063812734945,0.0173366519597794,0.46836693901099924,40.56517618233986
