Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0058583,0.0052047,0.0051965,0.0057647,0.0068778,0.007242
512,0.0073443,0.0064339,0.0060626,0.0069842,0.0104839,0.0103089
1024,0.0218487,0.0194213,0.0194648,0.0213325,0.0327752,0.0302339
2048,0.1789825,0.1611593,0.1616228,0.176979,0.1644442,0.1649751
4096,0.8928816,0.8060639,0.806142,0.8883698,0.9425521,0.909419
8192,3.7479446,3.3151856,3.3311283,3.6190236,3.6070328,3.5438662
