,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.014990925788879395,0.015377974510192871,0.015441036224365235,0.015287423133850097,0.017894268035888672,0.01769897937774658
512,0.03466124534606933,0.03702445030212402,0.03686680793762207,0.035415124893188474,0.048358035087585446,0.04467518329620361
1024,0.07053773403167725,0.07161436080932618,0.07004930973052978,0.06787548065185547,0.08916783332824707,0.07935941219329834
2048,0.10083067417144775,0.10741357803344727,0.1057619333267212,0.09828658103942871,0.13534412384033204,0.13229937553405763
4096,0.26144297122955323,0.26592240333557127,0.26000826358795165,0.2487748384475708,0.46618874073028566,0.44581763744354247
8192,0.9053873538970947,0.9694046258926392,0.9438185453414917,0.8789960384368897,1.6418591022491456,1.6123878240585328
