,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.008691716194152831,0.0073775768280029295,0.0073681831359863285,0.007662844657897949,0.008785128593444824,0.008347082138061523
4000,0.03324263095855713,0.02918994426727295,0.02918376922607422,0.029799485206604005,0.03358395099639892,0.03208465576171875
6000,0.074950909614563,0.06569712162017823,0.06584668159484863,0.06713471412658692,0.07537212371826171,0.07210474014282227
8000,0.13306379318237305,0.1171128511428833,0.11713101863861083,0.11942498683929444,0.13375568389892578,0.127976131439209
10000,0.2079690456390381,0.18300511837005615,0.1829998016357422,0.1863255262374878,0.20894432067871094,0.19968628883361816
