Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.3426748,0.2646501,0.2616266,0.2975383,0.4316489,0.4399565
4000,1.2957231,0.946922,0.9158122,1.1110523,1.7997844,1.6784916
6000,2.7300904,2.0028926,2.1049242,2.4908535,3.9509372,3.9290693
8000,5.117031,3.8002289,3.9070821,4.6731982,7.319197,6.9518169
10000,7.882532,5.8806038,5.7692975,7.1204244,11.2112842,10.9279883
