,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.1116337537765503,0.11474912166595459,0.11301996707916259,0.10547738075256348,0.13252058029174804,0.13211326599121093
4000,0.3349064111709595,0.3678452730178833,0.36611778736114503,0.33507957458496096,0.433246374130249,0.4128645181655884
6000,0.7173106670379639,0.7761670351028442,0.7778539419174194,0.7167383432388306,0.9225845813751221,0.875839114189148
8000,1.2542811393737794,1.3623069763183593,1.3630918979644775,1.2544989824295043,1.5949143648147583,1.5286361217498778
10000,1.9459337711334228,2.10845263004303,2.095017671585083,1.9312927961349486,2.4771353006362915,2.3303807973861694
