,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.14943063259124756,0.1740962028503418,0.1800525188446045,0.1561959981918335,0.24923577308654785,0.24524762630462646
4000,0.8478479623794556,0.9630588054656982,0.9604656457901001,0.8578641653060913,1.1821308612823487,1.142063045501709
6000,1.7898948431015014,2.0067155838012694,2.039401960372925,1.8162371397018433,2.4973984956741333,2.4324346780776978
8000,3.0645304918289185,3.4314801931381225,3.4534151554107666,3.100151872634888,4.311159086227417,4.134628891944885
10000,4.589990854263306,5.111557197570801,5.094513535499573,4.584851598739624,6.381166458129883,6.125909614562988
