,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.006555724143981934,0.004516196250915527,0.004790806770324707,0.007047605514526367,0.0076373577117919925,0.0075731992721557615
512,0.01541895866394043,0.012601637840270996,0.012819051742553711,0.01470510959625244,0.017305874824523927,0.016903114318847657
1024,0.04511139392852783,0.021499276161193848,0.022825098037719725,0.045300984382629396,0.04359390735626221,0.0414177417755127
2048,0.31118729114532473,0.17666077613830566,0.16702425479888916,0.21778497695922852,0.25445401668548584,0.2245563268661499
4096,0.7457897901535034,0.6116572618484497,0.6490092039108276,0.7939671277999878,0.9004488945007324,0.8771633863449096
8192,2.845454287528992,2.331097674369812,2.335154104232788,2.8312159538269044,3.2650759696960447,3.0355798244476317
