Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0027275,0.0020467,0.0020785,0.0023626,0.002727,0.0027068
512,0.0027423,0.0020709,0.0019199,0.0020071,0.0023005,0.0023056
1024,0.0030686,0.0024069,0.0025319,0.0026169,0.0028898,0.0029532
2048,0.007514,0.0059663,0.0057373,0.0064054,0.0100388,0.0096096
4096,0.028449,0.0230063,0.0233178,0.0243423,0.027356,0.0252039
8192,0.1155209,0.0958071,0.0938609,0.0951672,0.1074408,0.0985155
