Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0012628,0.001033,0.0010045,0.0009198,0.0011189,0.0010772
512,0.001007,0.0010985,0.001116,0.0009663,0.0012274,0.0011842
1024,0.005956,0.0012558,0.0013629,0.0065048,0.0070549,0.0015978
2048,0.0037016,0.0038593,0.0037835,0.003699,0.0037681,0.003562
4096,0.0090942,0.0101126,0.0101268,0.0089433,0.010181,0.0098673
8192,0.0348297,0.0357972,0.0362253,0.035877,0.0322824,0.0344656
