Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.1643672,0.1406673,0.1411451,0.1407901,0.3770169,0.3943141
4000,1.1752224,1.112493,1.1122978,1.1149227,2.4338716,2.3476319
6000,2.6292897,2.4905601,2.5898238,2.4532248,5.8311845,5.9030982
8000,4.6751692,4.4858406,4.4000317,4.4968073,10.4493732,10.3613816
10000,7.6500868,7.2527192,7.1035939,7.0380552,16.6835907,16.7988288
