Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
64,0.0031374,0.0030397,0.0033512,0.003729,0.0038703,0.0037096
256,0.0079674,0.0081084,0.0076673,0.0079065,0.009837,0.0092911
1024,0.0815646,0.0803319,0.0827634,0.0716605,0.1171542,0.1060749
4096,0.5315314,0.5599928,0.5447152,0.5185888,0.6782801,0.6459879
16384,8.2764716,8.7323482,8.7039921,8.2567723,9.7088424,9.4050368
