,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.0009740352630615235,0.0010144710540771484,0.0010158061981201173,0.0009257793426513672,0.0010789394378662109,0.0010436534881591796
4000,0.0009506940841674805,0.0010351896286010741,0.001015472412109375,0.0009778499603271484,0.001206684112548828,0.0010564327239990234
6000,0.0009566545486450195,0.0010205507278442383,0.0010190486907958984,0.0009558677673339843,0.0011141300201416016,0.0010835886001586913
8000,0.0010126352310180664,0.0010437488555908204,0.001055908203125,0.0009735822677612305,0.0011101245880126953,0.0010908126831054687
10000,0.0009756803512573243,0.0010464191436767578,0.001047801971435547,0.0009697198867797852,0.0011238813400268554,0.001084280014038086
