Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.005266,0.0039211,0.0038395,0.0038142,0.0068683,0.006562
512,0.0090989,0.0088278,0.0088161,0.0084504,0.0210146,0.0207977
1024,0.034148,0.0309291,0.0350339,0.0396796,0.1207623,0.1190043
2048,0.2699476,0.2571143,0.2565472,0.2559558,0.567374,0.5433621
4096,1.0228836,0.9884455,0.9708496,0.9673147,2.382158,2.4151341
8192,3.9512765,3.7691273,3.7676353,3.7590829,9.1521265,9.1841933
