,numpy,torch_cpu,jax_eager,jax_jit
2000,0.010214314589776686,0.027418127184784934,0.023527190474253928,7.923748110831234
4000,0.009614908676163268,0.01820491194616181,0.11765489883482685,16.368015609756096
6000,0.009869926829363952,0.017647722598120044,0.22882956678031072,22.3740408969673
8000,0.01054881278131364,0.01692564189038231,0.3852191292576231,26.400025177025963
10000,0.010077396112695949,0.016578648006608843,0.45035443782788986,28.610532060027285
