Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.1510919,0.1870743,0.1726763,0.1511105,0.2388623,0.2236678
4000,0.9937659,1.0684827,1.0836896,0.9803975,1.2974641,1.2665477
6000,2.1795588,2.3622171,2.3892155,2.1831853,2.858708,2.7960093
8000,4.0111784,4.3580357,4.3663723,4.0231322,5.2413825,5.1117821
10000,6.2412242,6.8272768,6.8416346,6.3406595,8.1214763,7.9378685
