,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.010678887367248535,0.010913634300231933,0.011168289184570312,0.010682487487792968,0.012835216522216798,0.01243290901184082
512,0.019325947761535643,0.019548583030700683,0.019567537307739257,0.019263434410095214,0.02564084529876709,0.02368600368499756
1024,0.036607098579406736,0.03876814842224121,0.03663313388824463,0.03631181716918945,0.0619596004486084,0.05284404754638672
2048,0.22081162929534912,0.24558911323547364,0.241933274269104,0.21684536933898926,0.3085965871810913,0.3138217210769653
4096,0.7149237155914306,0.8001625061035156,0.7648043394088745,0.6888312816619873,0.9963899850845337,0.9596158027648926
8192,2.4699287891387938,2.8795685291290285,2.744992804527283,2.490739440917969,3.493613433837891,3.4553966999053953
