Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0090654,0.0065639,0.0064142,0.0062889,0.0080548,0.0076697
512,0.0206436,0.021075,0.0211344,0.0201169,0.0294637,0.027685
1024,0.0555119,0.0586196,0.063861,0.0665861,0.0955035,0.0920042
2048,0.1285345,0.1448361,0.1358612,0.1313584,0.1557957,0.140652
4096,0.4147833,0.4455536,0.4325326,0.4142304,0.6209045,0.6109723
8192,1.6333,1.6915145,1.6967235,1.6287313,2.3404702,2.3387657
