Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
256,0.0798349,0.054468,0.0537281,0.0541953,0.0590083,0.0582255
512,0.0709687,0.0689645,0.0686296,0.0702977,0.0816241,0.0806201
1024,0.1212435,0.1094124,0.116559,0.1373167,0.1991958,0.2019239
2048,0.3734274,0.2975463,0.2951574,0.3367945,0.490161,0.4556815
4096,1.3751178,1.0489716,1.0426697,1.1667898,2.0143275,2.1148275
8192,5.5070847,4.2551824,4.1924844,4.7739403,7.7942793,7.5373071
