float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,89.26,
q43,4,3,2,89.26,
q43,4,3,3,89.03,
q43,4,3,4,89.72,
q43,4,3,5,88.49,
q43,4,3,6,89.10,
q52,5,2,1,89.56,
q52,5,2,2,85.26,
q52,5,2,3,86.34,
q52,5,2,4,89.03,
q52,5,2,5,88.87,
q52,5,2,6,89.64,
"custom(5, 5)",5,5,1,90.25,
"custom(5, 5)",5,5,2,89.56,
"custom(5, 5)",5,5,3,89.26,
"custom(5, 5)",5,5,4,89.18,
"custom(5, 5)",5,5,5,90.02,
"custom(5, 5)",5,5,6,90.10,
"custom(5, 7)",5,7,1,89.33,
"custom(5, 7)",5,7,2,88.95,
"custom(5, 7)",5,7,3,89.64,
"custom(5, 7)",5,7,4,89.95,
"custom(5, 7)",5,7,5,90.10,
"custom(5, 7)",5,7,6,89.49,
"custom(8, 4)",8,4,1,89.72,
"custom(8, 4)",8,4,2,88.56,
"custom(8, 4)",8,4,3,89.18,
"custom(8, 4)",8,4,4,88.33,
"custom(8, 4)",8,4,5,89.56,
"custom(8, 4)",8,4,6,89.72,
half,5,10,1,90.25,
half,5,10,2,89.18,
half,5,10,3,89.95,
half,5,10,4,88.64,
half,5,10,5,88.80,
half,5,10,6,89.33,
bfloat16,8,7,1,90.41,
bfloat16,8,7,2,89.72,
bfloat16,8,7,3,89.10,
bfloat16,8,7,4,89.56,
bfloat16,8,7,5,89.87,
bfloat16,8,7,6,89.26,
tf32,8,10,1,89.18,
tf32,8,10,2,90.10,
tf32,8,10,3,89.56,
tf32,8,10,4,90.25,
tf32,8,10,5,88.72,
tf32,8,10,6,88.95,
fp32,8,23,1,90.18,
fp32,8,23,2,90.48,
fp32,8,23,3,88.80,
fp32,8,23,4,89.72,
fp32,8,23,5,90.87,
fp32,8,23,6,89.72,
