float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,83.51,
q43,4,3,2,83.92,
q43,4,3,3,82.77,
q43,4,3,4,83.32,
q43,4,3,5,82.88,
q43,4,3,6,56.42,
q52,5,2,1,83.10,
q52,5,2,2,65.22,
q52,5,2,3,79.80,
q52,5,2,4,83.59,
q52,5,2,5,83.40,
q52,5,2,6,81.85,
"custom(5, 5)",5,5,1,83.21,
"custom(5, 5)",5,5,2,83.54,
"custom(5, 5)",5,5,3,83.59,
"custom(5, 5)",5,5,4,82.97,
"custom(5, 5)",5,5,5,83.51,
"custom(5, 5)",5,5,6,83.95,
"custom(5, 7)",5,7,1,83.43,
"custom(5, 7)",5,7,2,83.10,
"custom(5, 7)",5,7,3,83.48,
"custom(5, 7)",5,7,4,83.67,
"custom(5, 7)",5,7,5,83.65,
"custom(5, 7)",5,7,6,83.27,
"custom(8, 4)",8,4,1,83.92,
"custom(8, 4)",8,4,2,83.57,
"custom(8, 4)",8,4,3,83.29,
"custom(8, 4)",8,4,4,82.47,
"custom(8, 4)",8,4,5,83.54,
"custom(8, 4)",8,4,6,84.38,
half,5,10,1,83.54,
half,5,10,2,83.32,
half,5,10,3,83.46,
half,5,10,4,84.22,
half,5,10,5,83.97,
half,5,10,6,83.48,
bfloat16,8,7,1,83.54,
bfloat16,8,7,2,83.40,
bfloat16,8,7,3,82.80,
bfloat16,8,7,4,83.70,
bfloat16,8,7,5,82.80,
bfloat16,8,7,6,83.13,
tf32,8,10,1,83.92,
tf32,8,10,2,83.57,
tf32,8,10,3,83.43,
tf32,8,10,4,83.51,
tf32,8,10,5,83.67,
tf32,8,10,6,83.67,
fp32,8,23,1,83.86,
fp32,8,23,2,83.62,
fp32,8,23,3,83.37,
fp32,8,23,4,83.73,
fp32,8,23,5,83.07,
fp32,8,23,6,83.29,
