float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,86.92,
q43,4,3,2,86.59,
q43,4,3,3,86.75,
q43,4,3,4,86.97,
q43,4,3,5,86.62,
q43,4,3,6,86.35,
q52,5,2,1,87.08,
q52,5,2,2,85.34,
q52,5,2,3,83.97,
q52,5,2,4,87.24,
q52,5,2,5,87.49,
q52,5,2,6,86.56,
"custom(5, 5)",5,5,1,87.27,
"custom(5, 5)",5,5,2,86.43,
"custom(5, 5)",5,5,3,86.84,
"custom(5, 5)",5,5,4,86.35,
"custom(5, 5)",5,5,5,87.14,
"custom(5, 5)",5,5,6,87.00,
"custom(5, 7)",5,7,1,85.94,
"custom(5, 7)",5,7,2,86.62,
"custom(5, 7)",5,7,3,87.63,
"custom(5, 7)",5,7,4,86.89,
"custom(5, 7)",5,7,5,86.67,
"custom(5, 7)",5,7,6,86.62,
"custom(8, 4)",8,4,1,86.89,
"custom(8, 4)",8,4,2,86.45,
"custom(8, 4)",8,4,3,87.24,
"custom(8, 4)",8,4,4,86.92,
"custom(8, 4)",8,4,5,87.11,
"custom(8, 4)",8,4,6,87.44,
half,5,10,1,86.84,
half,5,10,2,86.54,
half,5,10,3,87.03,
half,5,10,4,86.92,
half,5,10,5,86.92,
half,5,10,6,86.18,
bfloat16,8,7,1,86.54,
bfloat16,8,7,2,86.84,
bfloat16,8,7,3,87.84,
bfloat16,8,7,4,87.65,
bfloat16,8,7,5,86.89,
bfloat16,8,7,6,86.84,
tf32,8,10,1,87.49,
tf32,8,10,2,86.40,
tf32,8,10,3,87.84,
tf32,8,10,4,86.73,
tf32,8,10,5,87.27,
tf32,8,10,6,87.46,
fp32,8,23,1,86.18,
fp32,8,23,2,86.24,
fp32,8,23,3,86.94,
fp32,8,23,4,86.64,
fp32,8,23,5,86.15,
fp32,8,23,6,87.24,
