float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,86.65,
q43,4,3,2,86.26,
q43,4,3,3,86.11,
q43,4,3,4,86.49,
q43,4,3,5,86.49,
q43,4,3,6,70.91,
q52,5,2,1,86.57,
q52,5,2,2,83.96,
q52,5,2,3,82.66,
q52,5,2,4,86.95,
q52,5,2,5,86.19,
q52,5,2,6,85.42,
"custom(5, 5)",5,5,1,86.19,
"custom(5, 5)",5,5,2,86.88,
"custom(5, 5)",5,5,3,85.96,
"custom(5, 5)",5,5,4,87.03,
"custom(5, 5)",5,5,5,84.96,
"custom(5, 5)",5,5,6,86.65,
"custom(5, 7)",5,7,1,85.80,
"custom(5, 7)",5,7,2,86.11,
"custom(5, 7)",5,7,3,85.88,
"custom(5, 7)",5,7,4,87.34,
"custom(5, 7)",5,7,5,87.26,
"custom(5, 7)",5,7,6,86.95,
"custom(8, 4)",8,4,1,85.80,
"custom(8, 4)",8,4,2,86.95,
"custom(8, 4)",8,4,3,86.72,
"custom(8, 4)",8,4,4,86.65,
"custom(8, 4)",8,4,5,85.73,
"custom(8, 4)",8,4,6,87.64,
half,5,10,1,85.73,
half,5,10,2,86.72,
half,5,10,3,85.57,
half,5,10,4,86.49,
half,5,10,5,86.11,
half,5,10,6,86.72,
bfloat16,8,7,1,86.49,
bfloat16,8,7,2,85.65,
bfloat16,8,7,3,86.26,
bfloat16,8,7,4,85.88,
bfloat16,8,7,5,86.80,
bfloat16,8,7,6,86.88,
tf32,8,10,1,86.49,
tf32,8,10,2,85.73,
tf32,8,10,3,86.72,
tf32,8,10,4,86.34,
tf32,8,10,5,86.42,
tf32,8,10,6,86.65,
fp32,8,23,1,86.26,
fp32,8,23,2,86.88,
fp32,8,23,3,86.57,
fp32,8,23,4,86.19,
fp32,8,23,5,87.26,
fp32,8,23,6,87.26,
