float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,86.57,
q43,4,3,2,85.73,
q43,4,3,3,87.64,
q43,4,3,4,85.26,
q43,4,3,5,86.95,
q43,4,3,6,70.38,
q52,5,2,1,86.88,
q52,5,2,2,83.42,
q52,5,2,3,83.50,
q52,5,2,4,85.80,
q52,5,2,5,85.96,
q52,5,2,6,86.65,
"custom(5, 5)",5,5,1,86.42,
"custom(5, 5)",5,5,2,86.34,
"custom(5, 5)",5,5,3,86.42,
"custom(5, 5)",5,5,4,85.88,
"custom(5, 5)",5,5,5,84.88,
"custom(5, 5)",5,5,6,86.26,
"custom(5, 7)",5,7,1,85.96,
"custom(5, 7)",5,7,2,85.50,
"custom(5, 7)",5,7,3,85.96,
"custom(5, 7)",5,7,4,86.65,
"custom(5, 7)",5,7,5,87.26,
"custom(5, 7)",5,7,6,86.42,
"custom(8, 4)",8,4,1,85.65,
"custom(8, 4)",8,4,2,86.34,
"custom(8, 4)",8,4,3,86.57,
"custom(8, 4)",8,4,4,85.80,
"custom(8, 4)",8,4,5,86.26,
"custom(8, 4)",8,4,6,86.34,
half,5,10,1,86.26,
half,5,10,2,87.03,
half,5,10,3,86.26,
half,5,10,4,86.11,
half,5,10,5,85.96,
half,5,10,6,86.42,
bfloat16,8,7,1,86.19,
bfloat16,8,7,2,87.11,
bfloat16,8,7,3,85.96,
bfloat16,8,7,4,87.41,
bfloat16,8,7,5,86.34,
bfloat16,8,7,6,85.19,
tf32,8,10,1,87.03,
tf32,8,10,2,87.64,
tf32,8,10,3,87.34,
tf32,8,10,4,87.11,
tf32,8,10,5,87.34,
tf32,8,10,6,86.95,
fp32,8,23,1,85.42,
fp32,8,23,2,86.95,
fp32,8,23,3,86.80,
fp32,8,23,4,86.03,
fp32,8,23,5,86.65,
fp32,8,23,6,86.49,
