float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,91.34,
q43,4,3,2,91.05,
q43,4,3,3,91.36,
q43,4,3,4,91.36,
q43,4,3,5,91.35,
q43,4,3,6,91.19,
q52,5,2,1,91.34,
q52,5,2,2,91.27,
q52,5,2,3,91.16,
q52,5,2,4,91.11,
q52,5,2,5,90.73,
q52,5,2,6,91.01,
"custom(5, 5)",5,5,1,91.17,
"custom(5, 5)",5,5,2,91.19,
"custom(5, 5)",5,5,3,91.51,
"custom(5, 5)",5,5,4,91.48,
"custom(5, 5)",5,5,5,91.33,
"custom(5, 5)",5,5,6,91.72,
"custom(5, 7)",5,7,1,91.33,
"custom(5, 7)",5,7,2,91.04,
"custom(5, 7)",5,7,3,91.46,
"custom(5, 7)",5,7,4,90.97,
"custom(5, 7)",5,7,5,91.49,
"custom(5, 7)",5,7,6,91.33,
"custom(8, 4)",8,4,1,91.43,
"custom(8, 4)",8,4,2,91.56,
"custom(8, 4)",8,4,3,91.03,
"custom(8, 4)",8,4,4,91.36,
"custom(8, 4)",8,4,5,91.06,
"custom(8, 4)",8,4,6,91.00,
half,5,10,1,91.31,
half,5,10,2,91.18,
half,5,10,3,91.28,
half,5,10,4,91.13,
half,5,10,5,91.18,
half,5,10,6,91.19,
bfloat16,8,7,1,91.48,
bfloat16,8,7,2,91.23,
bfloat16,8,7,3,91.19,
bfloat16,8,7,4,91.08,
bfloat16,8,7,5,91.51,
bfloat16,8,7,6,91.40,
tf32,8,10,1,91.38,
tf32,8,10,2,91.24,
tf32,8,10,3,91.35,
tf32,8,10,4,91.39,
tf32,8,10,5,91.21,
tf32,8,10,6,91.34,
fp32,8,23,1,91.36,
fp32,8,23,2,91.34,
fp32,8,23,3,91.25,
fp32,8,23,4,91.22,
fp32,8,23,5,91.27,
fp32,8,23,6,91.16,
