,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.2312250852584839,0.1681321382522583,0.17372682094573974,0.21413040161132812,0.22299232482910156,0.2246147632598877
4000,0.9820180892944336,0.8094407081604004,0.7972412586212159,0.9606850147247314,1.084721851348877,1.046184277534485
6000,2.077558493614197,1.753018593788147,1.7597584009170533,2.0958797931671143,2.40988142490387,2.323216938972473
8000,3.584509015083313,3.0873312950134277,3.098847818374634,3.6686004400253296,4.1790279150009155,4.001865029335022
10000,5.349593925476074,4.5817780017852785,4.593469047546387,5.379292368888855,6.152006721496582,5.95009024143219
