Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.1816926,0.1665004,0.1596376,0.1649383,0.4017067,0.4030647
4000,1.1011578,1.0136112,1.01495,1.0319708,2.2388101,2.2350831
6000,2.4449914,2.2671407,2.2557723,2.2957506,5.2633733,5.2595668
8000,4.3043006,3.9840499,3.9859833,4.0215084,9.2959993,9.3164407
10000,6.7744716,6.2482877,6.2740142,6.3329491,14.5671742,14.552508
