float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,98.77,
q43,4,3,2,98.75,
q43,4,3,3,98.89,
q43,4,3,4,98.85,
q43,4,3,5,98.87,
q43,4,3,6,98.58,
q52,5,2,1,98.91,
q52,5,2,2,98.80,
q52,5,2,3,98.72,
q52,5,2,4,98.75,
q52,5,2,5,98.77,
q52,5,2,6,98.60,
"custom(5, 5)",5,5,1,98.79,
"custom(5, 5)",5,5,2,98.76,
"custom(5, 5)",5,5,3,98.87,
"custom(5, 5)",5,5,4,98.81,
"custom(5, 5)",5,5,5,98.80,
"custom(5, 5)",5,5,6,98.68,
"custom(5, 7)",5,7,1,98.74,
"custom(5, 7)",5,7,2,98.67,
"custom(5, 7)",5,7,3,98.78,
"custom(5, 7)",5,7,4,98.76,
"custom(5, 7)",5,7,5,98.76,
"custom(5, 7)",5,7,6,98.75,
"custom(8, 4)",8,4,1,98.58,
"custom(8, 4)",8,4,2,98.70,
"custom(8, 4)",8,4,3,98.83,
"custom(8, 4)",8,4,4,98.77,
"custom(8, 4)",8,4,5,98.93,
"custom(8, 4)",8,4,6,98.71,
half,5,10,1,98.73,
half,5,10,2,98.71,
half,5,10,3,98.72,
half,5,10,4,98.78,
half,5,10,5,98.85,
half,5,10,6,98.70,
bfloat16,8,7,1,98.72,
bfloat16,8,7,2,98.81,
bfloat16,8,7,3,98.67,
bfloat16,8,7,4,98.80,
bfloat16,8,7,5,98.75,
bfloat16,8,7,6,98.89,
tf32,8,10,1,98.66,
tf32,8,10,2,98.79,
tf32,8,10,3,98.68,
tf32,8,10,4,98.69,
tf32,8,10,5,98.73,
tf32,8,10,6,98.63,
fp32,8,23,1,98.74,
fp32,8,23,2,98.84,
fp32,8,23,3,98.66,
fp32,8,23,4,98.61,
fp32,8,23,5,98.71,
fp32,8,23,6,98.59,
