Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.0097459,0.0084129,0.0083897,0.0086792,0.0094929,0.0091397
4000,0.0306945,0.0241837,0.0239861,0.0248341,0.0282247,0.0263408
6000,0.0665458,0.0559101,0.056252,0.0564309,0.0630073,0.059374
8000,0.1195143,0.0995565,0.0991074,0.1015137,0.1153746,0.1083802
10000,0.1861139,0.1560218,0.1548048,0.1580428,0.1757606,0.1668415
