,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.2446989059448242,0.20927553176879882,0.20358672142028808,0.22465450763702394,0.409024977684021,0.39975476264953613
4000,1.1153228998184204,0.8169110774993896,0.8216464996337891,0.9380555629730225,1.5961029291152955,1.5595622301101684
6000,2.4734932661056517,1.8545008659362794,1.8667599201202392,2.135319209098816,3.6401466846466066,3.55941321849823
8000,4.404601907730102,3.288014030456543,3.267280387878418,3.7768885612487795,6.465071988105774,6.3257851839065555
10000,6.778004741668701,5.124015378952026,5.1296666145324705,5.9159644603729244,10.173060131072997,9.949558138847351
