Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.1420199,0.1354646,0.1324263,0.1419192,0.1929177,0.1798853
4000,1.2680589,1.0990408,1.1222326,1.2458745,1.1421426,1.1378603
6000,3.0177801,2.3150605,2.2733821,2.5443095,2.612715,2.555611
8000,6.8576245,6.1755046,6.1130133,6.6024314,6.2404771,6.1908225
10000,11.3610106,9.8429078,9.8614895,10.5681704,9.9984321,9.8144874
