Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.1753194,0.1495339,0.1494665,0.1547256,0.3800681,0.3744327
4000,1.0954265,1.0340508,1.0353453,1.0502369,2.1973396,2.1764499
6000,2.4942151,2.2885144,2.2961288,2.3194205,5.319781,5.3216318
8000,4.4620559,4.099431,4.0981502,4.1528674,9.3953589,9.3961891
10000,7.0693531,6.4614588,6.4768274,6.5376743,14.7369779,14.7478782
