,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.008765077590942383,0.007468986511230469,0.007487821578979492,0.00776066780090332,0.008856678009033203,0.008437538146972656
4000,0.03399744033813477,0.02968437671661377,0.029701495170593263,0.03025956153869629,0.034340643882751466,0.03288280963897705
6000,0.07678782939910889,0.0671457052230835,0.06714813709259033,0.06840434074401855,0.07725319862365723,0.07397022247314453
8000,0.13663825988769532,0.11944711208343506,0.11950664520263672,0.12167494297027588,0.13728010654449463,0.13133883476257324
10000,0.2135148525238037,0.1867586851119995,0.18676283359527587,0.1900604248046875,0.2142714500427246,0.20514843463897706
