Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.0013131,0.0013281,0.0013529,0.0012679,0.0014329,0.0013326
4000,0.0090246,0.0108329,0.011048,0.0106951,0.0102428,0.0106309
6000,0.0216309,0.0217765,0.0214042,0.0224641,0.0217804,0.022089
8000,0.0376868,0.03891,0.0393428,0.0391786,0.034986,0.0361504
10000,0.0582194,0.0592558,0.0602284,0.0604113,0.0580588,0.0578781
