Size,Nearest (even),Up,Down,Zero,Stochastic (prop),Stochastic (uniform)
2000,0.1516972,0.1682045,0.1695116,0.1504279,0.1977257,0.1837061
4000,0.9502928,1.0875716,1.0879525,0.9950322,1.3059102,1.2704646
6000,2.1857171,2.3798834,2.3735618,2.1939261,2.8998009,2.8219324
8000,4.0750821,4.3446286,4.3991062,4.0413133,5.2223085,5.1107336
10000,6.3655181,6.9345581,6.9863786,6.4208356,8.1910095,8.0145473
